"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"Council of European Professional Informatics Societies","CEPIS","Conseil des Associations européennes des professionnels de l’informatique","CEPIS","Avenue Roger Vandendriessche 18","1150","Brussels","Belgium","+32 (0)2 772 1836","+32 (0)2 646 3032","www.cepis.org","matthias.stoerk@cepis.org","Member fees","Association","Nello","Scarabottolo","Avenue Roger Vandendriessche 18, B-1150 Brussels, Belgium","Fiona","Fanning","Avenue Roger Vandendriessche 18, B-1150 Brussels, Belgium","1998","0","35","English","English","Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Finland, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Latvia, Luxembourg, Malta, Bosnia and Herzegovina, Serbia, Iceland, United Kingdom","Social Cohension, Fight against poverty and social exclusion, Education and Culture, Media and Communication, Higher Educational, Security and access to Internet","2005"
"Council of the Bars and Law Societies of Europe","CCBE","Conseil des Barreaux européens","CCBE","Avenue de la Joyeuse Entree 1-5","1040","Brussels","Belgium","+32 (0)22346510","","www.ccbe.eu","ccbe@ccbe.eu","Membership fees","Professional Organisation","","","","Philip","Buisseret","","1960","14","0","English, French","","","Albania, Andorra, Armenia, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Human rights, Rule of Law","0"
"Defence for Children International","DEI","Défense des Enfants International","DCI","Rue Vaembé 1; P.O. BOX 88","1211","Genève","Switzerland","+ 41 22 734 05 58","+ 41 22 740 11 45","www.dci-is.org","info@dci-is.org","Member fees, Public funding, Private donations","Association","Rifat","Kassis","","Rebecca","Morton","Rue Varembé 1 P.O. Box 88 1211 Genève","1979","3","45","English - French - Spanish","","Democracy, Social Cohesion and Global Challenges, Human Rights","Belgium, Czech Republic, France, Italy, Netherlands, Switzerland, Slovakia, Albania, the former Yugoslav Republic of Macedonia, Serbia, USA","Human rights, Children's rights, International Co-operation, Education and Culture, Health, Media and Communication","0"
"Disabled People’s International - Région Europe","DPI","Organisation Mondiale des Personnes Handicapées","OMPH","45, Rue Riquet, A 664","75019","Paris","France","+33 140 375 700","+33 140 375 700","www.dpi-europe.org","","Member fees, Private donations","Federation","Jean-Luc","Simon","45, rue Riquet, A 664 75019 Paris","Dinah","Radke","Luitpoldstra?e 42 D-91052 Erlangen Deutschland","1981","1","35","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Belgium, Bulgaria, Croatia, Czech Republic, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Norway, Portugal, Romania, Slovenia, Switzerland, Slovakia, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Azerbaijan, Latvia, Malta, Ukraine, Serbia, Iceland, Russian Federation, United Kingdom, Belarus","Human rights, Promotion and defence of Human Rights, Economics and social rights, Children's rights, Gender equality, Other, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Disabled persons, International Co-operation, Promotion of Peace, Other, Strengthening civil society","2000"
"Dynamo International - Street Workers Network","Dynamo","Dynamo International - Réseau des travailleurs de rue","Dynamo","22, rue de l'Etoile","1180","Brussels","Belgium","+ 32 2 378 44 22","","www.dynamoweb.be","","","Association","","","","","","","0","0","0","","","","","","0"
"Eaquals (Evaluation and Accreditation of Quality in Language Services)","Eaquals","Association européenne pour des services linguistiques de qualité","Eaquals","P.O. Box 95","H-1301","Budapest","Hungary","+36 1 785 58 90","+36 1 785 58 90","www.eaquals.org","","","Association","Richard","Rossner","c/o  29/30 Fitzroy Square, London W1T 6LQ, UK.","Anna","Andor","Eaquals Secretariat P.O. Box 95, Budapest, H-1301, Hungary","1991","4","134","English","Chair, 2x Vice Chair, Treasurer + Board +5 other members","Education and Culture","Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, Montenegro, Poland, Portugal, Romania, Russian Federation, Serbia, South Africa, Spain, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Education and Culture, Education for Democratic Citizenship, Intercultural Dialogue, Languages","2008"
"Education International","EI","Internationale de l'Education","IE","5, Bd du Roi Albert II","1210","Bruxelles","Belgium","3222240611","3222240606","www.ei-ie.org","headoffice@ei-ie.org","Member fees","Professional Organisation","Susan","HOPGOOD","5 Bd du Roi Albert II 1210 Bruxelles (Belgique)","Fred","Van Leeuwen","5 Bd du Roi Albert II 1210 Bruxelles (Belgique)","1993","15","0","Anglais, Français","Anglais, Français, Espagnol, Allemand","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Monaco, Russian Federation, United Kingdom, Belarus, USA, Montenegro, Canada, South Africa","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication, Youth, Sport","1993"
"Equal Rights Trust","ERT","Association pour les droits égaux","ERT","314-320 Gray's Inn Road","WC1X8DP","London","United Kingdom","+ 44 207610 2786 ","","www.equalrightstrust.org","info@equalrightstrust.org","Public funding","Association","Saphieh","Ashtiany","314-320 Gray's Inn Road, London, WC1X8DP, United Kingdom","Dimitrina","Petrova","314-320 Gray's Inn Road, London, WC1X8DP, United Kingdom","2005","11","0","","","Human Rights","","Equal democracy, Strengthening civil society, Human rights, Children's rights, Economics and social rights, Fight against racism, Gender equality, Legal protection, Prevention of Torture, Promotion and defence of Human Rights, Rights of Minorities, Trafficking in human beings, Disabled persons, Family, Fight against poverty and social exclusion, Fight against violence, Intercommunity relations and integration, Migration, Roma and Travellers, The elderly","2009"
"Erasmus Student Network AISBL","ESN","Erasmus Student Network AISBL","ESN","Rue Hydraulique 15","1210","Brussels","Belgium","+32 2 256 74 27","+32 2 256 74 27","www.esn.org","liaison@esn.org","Member fees, Public funding, Private donations","Association","Evangelia","Ntovolou","","","","","1989","2","12 000","English","English","Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, the former Yugoslav Republic of Macedonia, Azerbaijan, Latvia, Malta, Bosnia and Herzegovina, Serbia, Iceland, United Kingdom","Democracy, Social Cohension, Students, Disabled persons, International Co-operation, European integration, Education and Culture, Languages, Cultural policies, Cultural diversity, Youth, Youth policy, Youth participation, Intercultural Dialogue, Higher Educational, Strengthening civil society","2008"
"Euclid Network","EN","Réseau Euclid","EN","Euclid Network, Regents Wharf, 2nd Floor, 8 All Sa","N1 9RL","London","United Kingdom","+44 (0)20 7280 4987","+44 (0)20 7280 4989","www.euclidnetwork.eu","info@euclidnetwork.eu","Member fees, Public funding","Association","Thierry","Weishaupt","","Stephen","Bubb","","2007","8","300","","","Democracy, Social Cohesion and Global Challenges","Bulgaria, Spain, Estonia, Finland, France, Germany, Italy, Portugal, Slovenia, Slovakia, Sweden, Albania, Luxembourg, United Kingdom","Democracy, International Co-operation, European integration, Education and Culture, Intercultural Dialogue, Strengthening civil society","2010"
"Eurochild AISBL","Eurochild","Eurochild AISBL","Eurochild","Avenue des Arts 1-2","1210","Brussels","Belgium","+32 (0)2 511 70 83","+32 (0)2 511 72 98","www.eurochild.org","","Member fees, Public funding, Private donations","Association","Catriona","Williams","Children in Wales 25 Windsor Place Cardiff CF10 3BZ UK","Jana","Hainsworth","Avenue des Arts 1-2 1210 Brussels Belgium","2004","3","53","English/French","English","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Bulgaria, Cyprus, Danemark, Estonia, Finland, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Poland, Portugal, Romania, Slovenia, Slovakia, Sweden, Greece, Albania, the former Yugoslav Republic of Macedonia, Latvia, Luxembourg, Malta, United Kingdom","Social Cohension, Education and Culture, Youth","2007"
"Eurogeo - European Association of Geographers","EUROGEO","Eurogeo - Association Européenne des Géographes","EUROGEO","Sint Blasiusstraat","","Wardamme","Belgium","","","www.eurogeography.eu","eurogeomail@yahoo.co.uk","Member fees, Public funding, Private donations","Association","Karl","Donert","19, Blackwood Ave. Liverpool L25 4RN United Kingdom","Harry","Rogge","Valreep 30 PH VEENENDAAL Pays Bas","1979","9","230","English","English, French, German","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Sweden, Turkey, Greece, Albania, Malta, Ukraine, Russian Federation, United Kingdom, USA","Human rights, Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Equal democracy, Other, Social Cohension, Students, Migration, Intercommunity relations and integration, International Co-operation, Conflict meditation, North-South Dialogue, European integration, Education and Culture, Education for Democratic Citizenship, Heritage, Cultural policies, Cultural diversity, Health, Public Health, Other, Scientific research, Environment and sustanable development, Media and Communication, Freedom of expression, Media pluralism, Access to information, Media and conflicts, Media and minorities, Media assistance, Other, Youth, Youth policy, Youth participation, Intercultural Dialogue, Higher Educational, Strengthening civil society, Security and access to Internet","1989"
"Eurogroup for Animals ASBL","*","Eurogroup pour les Animaux","*","Rue des Patriotes 6","1000","Bruxelles","Belgium","+32 2 740 0820","+32 2 740 0829","www.eurogroupforanimals.org","","","Association","Frank","Dales","Dierenbescherming, Scheveningseweg 58 NL -2500 The Hague","","","","1980","13","43","English","English","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Poland, Portugal, Romania, Slovakia, Spain, Sweden, Switzerland, United Kingdom","Democracy, Strengthening civil society, Education and Culture, Other, Environment and sustanable development, Conservation/ protection of animals, Environment protection","0"
"Europa Nostra","EN","Europa Nostra","EN","Lange Voorhout 35","2514 EC","The Hague","Netherlands","+31 (0)70 302 40 50","+31 (0)70 361 78 65","www.europanostra.org","","","Association","","","","","","","0","0","0","","","","","","0"
"EUROPARC - Federation of Nature and National Parks of Europe","EUROPARC","EUROPARC - Fédération des Parcs naturels et nationaux d’Europe","EUROPARC","Waffnergasse, 6","93047","Regensburg","Germany","","","www.europarc.org","office@europarc.org","Membership fees, Public funding, Private donations","Association","Ignace","Schops","as above","Carol","Ritchie","as above","1973","7","370","English, German, French, Spanish, Italian","English, German, French","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, United Kingdom","Environment and sustanable development, Conservation/ protection of animals, Countryside, Environment protection, Rural areas, Sustainable tourism, International Co-operation, Youth","2014"
